"","1","爱情","愛情","ài qíng","(romantic) love",""
"","2","安排","安排","ān pái","arrange; to plan",""
"","3","安全","安全","ān quán","safe; safety; secure; security",""
"","4","按时","按時","àn shí","on time; on schedule",""
"","5","按照","按照","àn zhào","according to; in accordance with; in light of",""
"","6","百分之","百分之","bǎi fēn zhī","percent",""
"","7","棒","棒","bàng","stick; club; good; excellent",""
"","8","包子","包子","bāo zi","steamed stuffed bun",""
"","9","保护","保護","bǎo hù","to protect; to defend",""
"","10","保证","保證","bǎo zhèng","to guarantee; ensure",""
"","11","报名","報名","bào míng","sign up; apply",""
"","12","抱","抱","bào","to hold; to hug; carry in one's arms; to cradle",""
"","13","抱歉","抱歉","bào qiàn","be sorry; feel apologetic; to regret",""
"","14","倍","倍","bèi","(two, three, etc)-fold; times (multiplier)",""
"","15","本来","本來","běn lái","originally; at first",""
"","16","笨","笨","bèn","stupid; foolish; silly; dumb; clumsy",""
"","17","比如","比如","bǐ rú","for example; for instance; such as",""
"","18","毕业","畢業","bì yè","to graduate; to finish school",""
"","19","遍","遍","biàn","a time; everywhere; turn; (mw for times or turns)",""
"","20","标准","標准","biāo zhǔn","(an official) standard; norm; criterion",""
"","21","表格","表格","biǎo gé","form (document)",""
"","22","表示","表示","biǎo shì","express; show; indicate",""
"","23","表演","表演","biǎo yǎn","perform; to play",""
"","24","表扬","表揚","biǎo yáng","to praise; commend",""
"","25","饼干","餅幹","bǐng gān","biscuit; cracker; cookie",""
"","26","并且","並且","bìng qiě","and; besides; moreover",""
"","27","博士","博士","bó shì","doctor; PhD",""
"","28","不得不","不得不","bù dé bù","have to; have no choice but to; cannot but",""
"","29","不管","不管","bù guǎn","no matter (what, how, etc.); regardless of",""
"","30","不过","不過","bú guò","only; merely; but; however",""
"","31","不仅","不僅","bù jǐn","not only; not just",""
"","32","部分","部分","bù fen","part; share; section",""
"","33","擦","擦","cā","to wipe; to rub; to polish",""
"","34","猜","猜","cāi","to guess",""
"","35","材料","材料","cái liào","material",""
"","36","参观","參觀","cān guān","to visit (a place, such as a tourist spot); inspect",""
"","37","餐厅","餐廳","cān tīng","dining hall; cafeteria; restaurant",""
"","38","厕所","廁所","cè suǒ","bathroom; toilet; lavatory",""
"","39","差不多","差不多","chà bu duō","almost; about the same",""
"","40","长城","長城","cháng chéng","the Great Wall",""
"","41","长江","長江","cháng jiāng","the Yangtze River; the Changjiang River",""
"","42","尝","嘗","cháng","to taste; flavor; (past tense marker)",""
"","43","场","場","chǎng","courtyard; place; field; (mw for games, performances, etc.)",""
"","44","超过","超過","chāo guò","surpass; exceed; outstrip",""
"","45","成功","成功","chéng gōng","success; to succeed",""
"","46","成为","成爲","chéng wéi","become; turn into",""
"","47","诚实","誠實","chéng shí","honest; honorable",""
"","48","乘坐","乘坐","chéng zuò","ride; get into (a vehicle)",""
"","49","吃惊","吃驚","chī jīng","be startled; be shocked; be amazed",""
"","50","重新","重新","chóng xīn","again; anew; once more",""
"","51","抽烟","抽煙","chōu yān","to smoke (a cigarette, pipe, etc.)",""
"","52","出差","出差","chū chāi","go on a business trip",""
"","53","出发","出發","chū fā","start out; set off",""
"","54","出生","出生","chū shēng","be born",""
"","55","出现","出現","chū xiàn","appear; arise; emerge",""
"","56","厨房","廚房","chú fáng","kitchen",""
"","57","传真","傳真","chuán zhēn","fax; facsimile",""
"","58","窗户","窗戶","chuāng hu","window",""
"","59","词语","詞語","cí yǔ","words and expressions; terms",""
"","60","从来","從來","cóng lái","always; at all times",""
"","61","粗心","粗心","cū xīn","careless; inadvertent; negligent",""
"","62","存","存","cún","exist; to deposit; to store",""
"","63","错误","錯誤","cuò wù","error; mistake; mistaken",""
"","64","答案","答案","dá àn","answer; solution",""
"","65","打扮","打扮","dǎ ban","dress up; put on make up",""
"","66","打扰","打擾","dǎ rǎo","disturb",""
"","67","打印","打印","dǎ yìn","to print",""
"","68","打招呼","打招呼","dǎ zhāo hu","notify; greet; inform",""
"","69","打折","打折","dǎ zhé","sell at a discount",""
"","70","打针","打針","dǎ zhēn","inject; get a shot",""
"","71","大概","大概","dà gài","probably; roughly; approximate",""
"","72","大使馆","大使館","dà shǐ guǎn","embassy",""
"","73","大约","大約","dà yuē","approximately; about",""
"","74","大夫","大夫","dài fu","doctor; physician",""
"","75","戴","戴","dài","put on; to wear; to respect",""
"","76","当","當","dāng","should; act as; work as; manage; match; (sound of bells)",""
"","77","当时","當時","dāng shí","then; at that time; while",""
"","78","刀","刀","dāo","knife; blade (Kangxi radical 18)",""
"","79","导游","導遊","dǎo yóu","tour guide",""
"","80","到处","到處","dào chù","everywhere; in all places; all over",""
"","81","到底","到底","dào dǐ","after all; in the end (used in a question)",""
"","82","倒","倒","dǎo | dào","to collapse; to fall; fail; to exchange | to pour; contrary to expectations",""
"","83","道歉","道歉","dào qiàn","apologize; make an apology",""
"","84","得意","得意","dé yì","proud of oneself; complacent",""
"","85","得","得","de","(complement particle)",""
"","86","登机牌","登機牌","dēng jī pái","boarding pass",""
"","87","等","等","děng","to wait; rank; equal; etc.",""
"","88","低","低","dī","low; to lower (one's head); droop",""
"","89","底","底","dǐ","bottom; background; base",""
"","90","地点","地點","dì diǎn","place; site; location",""
"","91","地球","地球","dì qiú","the Earth; planet",""
"","92","地址","地址","dì zhǐ","address",""
"","93","调查","調查","diào chá","investigate; survey; inquiry",""
"","94","掉","掉","diào","to drop; to fall",""
"","95","丢","丟","diū","lose (something); throw; put aside",""
"","96","动作","動作","dòng zuò","movement; motion; action",""
"","97","堵车","堵車","dǔ chē","traffic jam",""
"","98","肚子","肚子","dù zi","belly; abdomen; stomach",""
"","99","短信","短信","duǎn xìn","text message; SMS",""
"","100","对话","對話","duì huà","dialogue; conversation",""
"","101","对面","對面","duì miàn","opposite; across from; the other side",""
"","102","对于","對于","duì yú","regarding; as far as sth. is concerned; with regards to; for",""
"","103","儿童","兒童","ér tóng","child; children",""
"","104","而","而","ér","and; but; yet; while (Kangxi radical 126)",""
"","105","发生","發生","fā shēng","happen; occur; take place",""
"","106","发展","發展","fā zhǎn","develop; development; growth",""
"","107","法律","法律","fǎ lǜ","law; statute",""
"","108","翻译","翻譯","fān yì","translate; translation; interpret",""
"","109","烦恼","煩惱","fán nǎo","worried; vexed",""
"","110","反对","反對","fǎn duì","oppose; fight against",""
"","111","方法","方法","fāng fǎ","method; way; means",""
"","112","方面","方面","fāng miàn","aspect; field; side",""
"","113","方向","方向","fāng xiàng","direction; orientation",""
"","114","房东","房東","fáng dōng","landlord",""
"","115","放弃","放棄","fàng qì","abandon; renounce; give up",""
"","116","放暑假","放暑假","fàng shǔ jià","have summer vacation",""
"","117","放松","放松","fàng sōng","relax; loosen; slacken",""
"","118","份","份","fèn","part; portion; (mw for documents, papers, jobs, etc.)",""
"","119","丰富","豐富","fēng fù","rich; enrich; abundant; plentiful",""
"","120","否则","否則","fǒu zé","if not; otherwise; or else",""
"","121","符合","符合","fú hé","in keeping with; in accordance with; conform",""
"","122","父亲","父親","fù qin","father",""
"","123","付款","付款","fù kuǎn","to pay",""
"","124","负责","負責","fù zé","responsible for (something); in charge of",""
"","125","复印","複印","fù yìn","photocopy; duplicate",""
"","126","复杂","複雜","fù zá","complicated; complex",""
"","127","富","富","fù","wealthy",""
"","128","改变","改變","gǎi biàn","to change; alter; to transform",""
"","129","干杯","幹杯","gān bēi","to drink a toast; cheers!; bottoms up!",""
"","130","赶","趕","gǎn","catch up; overtake; drive away",""
"","131","敢","敢","gǎn","to dare",""
"","132","感动","感動","gǎn dòng","be moved; to touch emotionally",""
"","133","感觉","感覺","gǎn jué","to feel; become aware of; feeling",""
"","134","感情","感情","gǎn qíng","feeling; emotion; sensation",""
"","135","感谢","感謝","gǎn xiè","thank; be grateful",""
"","136","干","幹","gān","to concern; shield; dry; clean (Kangxi radical 51)",""
"","137","刚","剛","gāng","just (indicating the immediate past); recently; firm",""
"","138","高速公路","高速公路","gāo sù gōng lù","highway",""
"","139","胳膊","胳膊","gē bo","arm",""
"","140","各","各","gè","each; every",""
"","141","工资","工資","gōng zī","wages; pay; earnings; salary",""
"","142","公里","公裏","gōng lǐ","kilometer",""
"","143","功夫","功夫","gōng fu","kung fu; skill; art; labor",""
"","144","共同","共同","gòng tóng","together; common; joint",""
"","145","购物","購物","gòu wù","go shopping; buy goods",""
"","146","够","夠","gòu","enough; to reach",""
"","147","估计","估計","gū jì","appraise; estimate",""
"","148","鼓励","鼓勵","gǔ lì","encourage; inspire",""
"","149","故意","故意","gù yì","deliberately; intentional; on purpose",""
"","150","顾客","顧客","gù kè","customer; client",""
"","151","挂","挂","guà","hang; put up; suspend",""
"","152","关键","關鍵","guān jiàn","crucial; key; pivotal",""
"","153","观众","觀衆","guān zhòng","spectator; audience",""
"","154","管理","管理","guǎn lǐ","supervise; manage",""
"","155","光","光","guāng","light; ray; bright; only; merely; used up",""
"","156","广播","廣播","guǎng bō","broadcast; on the air",""
"","157","广告","廣告","guǎng gào","advertisement; a commercial",""
"","158","逛","逛","guàng","to stroll; to visit; go window shopping",""
"","159","规定","規定","guī dìng","regulation; stipulate; fix; set",""
"","160","国籍","國籍","guó jí","nationality",""
"","161","国际","國際","guó jì","international",""
"","162","果汁","果汁","guǒ zhī","fruit juice",""
"","163","过程","過程","guò chéng","course of events; process",""
"","164","海洋","海洋","hǎi yáng","ocean",""
"","165","害羞","害羞","hài xiū","blush; shy",""
"","166","寒假","寒假","hán jià","winter vacation",""
"","167","汗","汗","hàn","sweat; perspiration; Khan",""
"","168","航班","航班","háng bān","scheduled flight; flight number",""
"","169","好处","好處","hǎo chu","benefit; advantage",""
"","170","好像","好像","hǎo xiàng","as if; seem to be",""
"","171","号码","號碼","hào mǎ","number",""
"","172","合格","合格","hé gé","qualified; up to standard",""
"","173","合适","合適","hé shì","suitable; proper; appropriate",""
"","174","盒子","盒子","hé zi","box",""
"","175","后悔","後悔","hòu huǐ","to regret; repent",""
"","176","厚","厚","hòu","thick (for flat things); generous",""
